order_id,customer_id,product_id,order_date,product_category,product_name,quantity,unit_price,total_price,city,payment_method
ORD00001,CUST0378,PROD014,2023-05-23,Home & Kitchen,Mixer,1,6061.37,6061.37,Ahmedabad,UPI
ORD00002,CUST0309,PROD004,2024-06-01,Home & Kitchen,Mixer,1,722.51,722.51,Ahmedabad,Credit Card
ORD00003,CUST0004,PROD098,2023-10-12,Books,Magazine,1,686.75,686.75,Bangalore,Net Banking
ORD00004,CUST0048,PROD049,2023-04-15,Clothing,Jeans,3,1311.19,3933.57,Delhi,Debit Card
ORD00005,CUST0275,PROD016,2024-04-15,Sports,Racket,1,1807.03,1807.03,Kolkata,UPI
ORD00006,CUST0361,PROD009,2023-07-16,Home & Kitchen,Lamp,1,7140.77,7140.77,Mumbai,Credit Card
ORD00007,CUST0143,PROD059,2024-01-25,Sports,Cricket Bat,3,5175.17,15525.51,Pune,Credit Card
ORD00008,CUST0332,PROD010,2024-11-30,Clothing,Jeans,2,3449.49,6898.98,Lucknow,Credit Card
ORD00009,CUST0353,PROD072,2024-10-17,Home & Kitchen,Pressure Cooker,1,1724.68,1724.68,Chennai,Debit Card
ORD00010,CUST0206,PROD035,2023-11-20,Sports,Cricket Bat,1,1604.8,1604.8,Delhi,Credit Card
ORD00011,CUST0256,PROD051,2024-11-02,Beauty,Serum,1,2653.71,2653.71,Jaipur,Credit Card
ORD00012,CUST0220,PROD075,2024-08-21,Electronics,Smartphone,2,60874.17,121748.34,Kolkata,Debit Card
ORD00013,CUST0057,PROD020,2023-02-18,Electronics,Smartphone,1,43214.47,43214.47,Bangalore,Net Banking
ORD00014,CUST0129,PROD071,2024-06-25,Home & Kitchen,Curtains,5,3361.53,16807.65,Mumbai,UPI
ORD00015,CUST0058,PROD038,2023-12-15,Books,Magazine,3,1150.98,3452.94,Kolkata,Credit Card
ORD00016,CUST0055,PROD081,2024-06-03,Clothing,Jacket,3,4867.85,14603.55,Hyderabad,COD
